nr;temperature_indoor;temperature_outdoor;door
1080;14.08;12.16;0
1081;14.08;12.16;0
1082;14.40;12.16;0
1083;14.40;12.16;0
1084;14.40;12.48;0
1085;14.40;12.48;0
1086;14.40;12.48;0
1087;14.40;12.48;0
1088;14.40;12.48;0
1089;14.40;12.48;0
1090;14.40;12.48;0
1091;14.40;12.48;0
1092;14.40;12.48;0
1093;14.40;12.48;0
1094;14.40;12.80;0
1095;14.40;12.48;0
1096;14.40;12.48;0
1097;14.40;12.48;0
1098;14.40;12.48;0
1099;14.40;12.48;0
1100;14.40;12.48;0
1101;14.40;12.48;0
1102;14.40;12.48;0
1103;14.40;12.48;0
1104;14.40;12.48;0
1105;14.40;12.48;0
1106;14.40;12.48;0
1107;14.40;12.48;0
1108;14.40;12.48;0
1109;14.40;12.48;0
1110;14.40;12.48;0
1111;14.40;12.48;0
1112;14.72;12.48;0
1113;14.40;12.48;0
1114;14.72;12.48;0
1115;14.72;12.48;0
1116;14.72;12.80;0
1117;14.72;12.48;0
1118;14.72;12.48;0
1119;14.40;12.48;0
1120;14.72;12.48;0
1121;14.40;12.48;0
1122;14.40;12.48;0
1123;14.40;12.48;0
1124;14.40;12.48;0
1125;14.40;12.48;0
1126;14.40;12.48;0
1127;14.40;12.48;0
1128;14.40;12.48;0
1129;14.40;12.48;0
1130;14.72;12.48;0
1131;14.40;12.48;0
1132;14.72;12.48;0
1133;14.72;12.48;0
1134;15.04;12.48;0
1135;15.36;12.48;0
1136;15.36;12.80;0
1137;15.36;12.48;0
1138;15.36;12.80;0
1139;15.36;12.48;0
1140;15.36;12.80;0
1141;15.36;12.80;0
1142;15.36;12.80;0
1143;15.36;12.80;0
